"","Linear Regression","MARS","Neural Networks","K-nearest Neighbour"
"92",2.56493372859031,2.62206629516134,2.56009771137684,3
"93",4.33595173138715,4.37708333333333,4.35374852040194,5
"94",3.49256370572806,3.34057113553357,3.48430719683767,4
"95",3.21271871242114,3.34057113553357,3.4232745182808,4
"96",3.84039052729472,3.48222008033729,3.6303579334072,4
"97",2.82882100450899,2.87245708852833,2.66141775806211,3
"98",2.7315097693669,2.81432189296292,2.61389863459104,3
"99",2.17706939040298,2.14642370558855,2.04002650055202,2
"100",2.42872887708369,1.93622899451785,1.43933479062162,2
"101",2.35327764732746,2.42228215479221,2.56009771137684,3
"102",2.51871886023761,2.48041735035762,2.5408044216087,3
"103",3.21271871242114,3.34057113553357,3.4232745182808,4
"104",2.66103647647164,2.94853139736286,2.81897621224648,3
"105",2.28020275406273,2.28063320998849,2.5408044216087,3
"106",2.51871886023761,2.48041735035762,2.5408044216087,3
"107",3.21271871242114,3.34057113553357,3.4232745182808,4
"108",2.9009625740759,3.09018034216658,2.92533491220356,3
"109",3.13293870495625,3.34057113553357,3.4232745182808,4
"110",3.00457543895192,2.87245708852833,2.66141775806211,3
"111",1.93324159047048,1.75438396741784,1.84838538684834,1
"112",3.13293870495625,3.34057113553357,3.4232745182808,4
"113",1.83463144829113,1.76191250998539,1.70317378681164,1
"114",4.33595173138715,4.37708333333333,4.35374852040194,5
"115",2.28020275406273,2.28063320998849,2.5408044216087,3
"116",3.13293870495625,3.34057113553357,3.4232745182808,4
"117",3.13293870495625,3.34057113553357,3.4232745182808,4
"118",3.68630936476438,3.48222008033729,3.46633246181373,4
"119",3.68630936476438,3.48222008033729,3.46633246181373,4
"120",3.3448293232023,2.8708132737972,2.74000355297249,3
"121",2.74721909368295,2.94853139736286,2.81897621224648,3
"122",3.02695760934091,3.19892219072984,2.94832591701124,2
"123",4.33595173138715,4.37708333333333,4.35374852040194,5
"124",1.93324159047048,1.75438396741784,1.84838538684834,1
"125",3.68630936476438,3.48222008033729,3.46633246181373,4
"126",2.9757193271283,2.58751538418976,2.52407358026789,4
"127",2.97844268620985,3.01410603333205,2.61389863459104,3
"128",3.21271871242114,3.34057113553357,3.4232745182808,4
"129",3.49256370572806,3.34057113553357,3.48430719683767,4
"130",1.5655484209527,1.78452238028792,1.78297281323843,2
"131",3.21271871242114,3.34057113553357,3.4232745182808,4
"132",4.33595173138715,4.37708333333333,4.35374852040194,5
"133",2.77331370418444,3.09018034216658,2.92533491220356,3
"134",2.42635254059219,2.56393109959593,2.63252903064332,3
"135",4.33595173138715,4.37708333333333,4.35374852040194,5
"136",2.65306657006606,2.6726729481592,2.66141775806211,3
"137",1.58462847864947,1.54418925634713,0.730062569510421,1
"138",2.74721909368295,2.94853139736286,2.81897621224648,3
"139",4.33595173138715,4.37708333333333,4.35374852040194,5
"140",2.39946080715017,2.48041735035762,2.5408044216087,3
