date,dma,isTreatmentPeriod,isTreatmentGroup,revenue
4/1/2012,839,0,1,128900.8224
4/1/2012,855,0,1,47354.1768
4/1/2012,862,0,1,283991.7024
4/1/2012,866,0,0,112298.0976
4/1/2012,868,0,1,33512.7672
4/1/2012,881,0,1,93494.4192
4/2/2012,500,0,0,81176.9832
4/2/2012,501,0,1,2257588.008
4/2/2012,502,0,1,32701.5576
4/2/2012,503,0,1,41218.38
4/2/2012,504,0,1,703947.564
4/2/2012,505,0,0,385063.4088
4/2/2012,506,0,1,644262.012
4/2/2012,507,0,1,63757.5264
4/2/2012,508,0,1,230423.2848
4/2/2012,509,0,1,61191.432
4/2/2012,510,0,1,315888.6672
4/2/2012,511,0,0,662137.0128
4/2/2012,512,0,1,277062.6816
4/2/2012,513,0,0,93199.9464
4/2/2012,514,0,1,144866.6784
4/2/2012,515,0,1,189864.6912
4/2/2012,516,0,1,34304.4072
4/2/2012,517,0,0,237422.8224
4/2/2012,518,0,1,130762.9224
4/2/2012,519,0,1,63501.5664
4/2/2012,520,0,1,43228.5336
4/2/2012,521,0,0,139844.7936
4/2/2012,522,0,1,45806.9256
4/2/2012,523,0,1,89897.3352
4/2/2012,524,0,1,501524.3736
4/2/2012,525,0,0,22270.248
4/2/2012,526,0,1,26638.2144
4/2/2012,527,0,1,202589.7048
4/2/2012,528,0,0,844627.464
4/2/2012,529,0,1,122229.3744
4/2/2012,530,0,1,37612.4256
4/2/2012,531,0,1,56929.4064
4/2/2012,532,0,1,121565.2536
4/2/2012,533,0,1,250993.8576
4/2/2012,534,0,0,374035.1976
4/2/2012,535,0,1,193256.2008
4/2/2012,536,0,0,49893.0192
4/2/2012,537,0,1,34747.092
4/2/2012,538,0,1,95703.1272
4/2/2012,539,0,1,443260.5984
4/2/2012,540,0,1,47860.1496
4/2/2012,541,0,1,92959.416
4/2/2012,542,0,0,101923.6464
4/2/2012,543,0,1,66226.7448
4/2/2012,544,0,0,147044.5488
4/2/2012,545,0,0,52783.3296
4/2/2012,546,0,0,80538.624
4/2/2012,547,0,0,104389.5744
4/2/2012,548,0,0,207435.8664
4/2/2012,549,0,1,29428.3296
4/2/2012,550,0,0,34681.6224
4/2/2012,551,0,1,52670.3832
4/2/2012,552,0,1,7474.068
4/2/2012,553,0,1,19661.9904
4/2/2012,554,0,1,31532.9832
4/2/2012,555,0,1,94049.6328
4/2/2012,556,0,0,122068.8288
4/2/2012,557,0,0,104947.7688
4/2/2012,558,0,1,6942.3048
4/2/2012,559,0,1,33174.8784
4/2/2012,560,0,1,209360.4336
4/2/2012,561,0,0,149709.8664
4/2/2012,563,0,0,135024.8832
4/2/2012,564,0,1,98582.1552
4/2/2012,565,0,0,25153.3872
4/2/2012,566,0,0,148671.2376
4/2/2012,567,0,1,155862.5184
4/2/2012,569,0,1,11693.3328
4/2/2012,570,0,1,51619.356
4/2/2012,571,0,1,105290.4672
4/2/2012,573,0,1,75494.268
4/2/2012,574,0,1,76168.3896
4/2/2012,575,0,1,78786.3096
4/2/2012,576,0,0,31111.9416
4/2/2012,577,0,0,143328.0312
4/2/2012,581,0,0,40897.5336
4/2/2012,582,0,1,16131.6648
4/2/2012,583,0,1,2146.176
4/2/2012,584,0,1,9239.652
4/2/2012,588,0,1,75241.2672
4/2/2012,592,0,1,27985.5
4/2/2012,596,0,0,6606.8208
4/2/2012,597,0,1,12475.0512
4/2/2012,598,0,1,25440.8328
4/2/2012,600,0,1,43113.4128
4/2/2012,602,0,1,842267.16
4/2/2012,603,0,1,36195.6024
4/2/2012,604,0,1,31879.2168
4/2/2012,605,0,1,38701.8288
4/2/2012,606,0,0,15367.0176
4/2/2012,609,0,0,234924.876
4/2/2012,610,0,1,45007.8408
4/2/2012,611,0,0,43911.3672
4/2/2012,612,0,1,68818.6368
4/2/2012,613,0,0,378879.0552
4/2/2012,616,0,1,173629.0944
4/2/2012,617,0,0,200970.2808
4/2/2012,618,0,1,584906.3208
4/2/2012,619,0,1,94596.3504
4/2/2012,622,0,0,140613.4296
4/2/2012,623,0,1,608820.8616
4/2/2012,624,0,0,35184.3624
4/2/2012,625,0,1,63973.6704
4/2/2012,626,0,1,5464.5984
4/2/2012,627,0,0,34582.212
4/2/2012,628,0,1,31956.696
4/2/2012,630,0,1,151277.472
4/2/2012,631,0,1,10583.5608
4/2/2012,632,0,1,73144.368
4/2/2012,633,0,1,59363.1072
4/2/2012,634,0,1,43784.46
4/2/2012,635,0,0,185089.4424
4/2/2012,636,0,1,125622.324
4/2/2012,637,0,1,82323.108
4/2/2012,638,0,1,8964.036
4/2/2012,639,0,1,15149.3184
4/2/2012,640,0,1,140570.7984
4/2/2012,641,0,1,190308.672
4/2/2012,642,0,1,54363.8448
4/2/2012,643,0,1,22084.7688
4/2/2012,644,0,0,18147.0744
4/2/2012,647,0,1,11860.0128
4/2/2012,648,0,1,75682.0512
4/2/2012,649,0,1,52394.6448
4/2/2012,650,0,1,148127.1912
4/2/2012,651,0,1,26691.9552
4/2/2012,652,0,1,90975.2184
4/2/2012,656,0,0,34338.9528
4/2/2012,657,0,1,22248.144
4/2/2012,658,0,1,85982.4864
4/2/2012,659,0,1,206406.3816
4/2/2012,661,0,1,12908.8656
4/2/2012,662,0,1,20225.6136
4/2/2012,669,0,1,80859.0672
4/2/2012,670,0,1,58585.2984
4/2/2012,671,0,0,102894.696
4/2/2012,673,0,0,32865.552
4/2/2012,675,0,1,53424.0576
4/2/2012,676,0,0,42799.464
4/2/2012,678,0,0,102223.2312
4/2/2012,679,0,0,80392.2048
4/2/2012,682,0,1,73767.8592
4/2/2012,686,0,0,112673.2248
4/2/2012,687,0,0,58321.8936
4/2/2012,691,0,0,76125.2544
4/2/2012,692,0,0,33382.188
4/2/2012,693,0,0,115212.2328
4/2/2012,698,0,1,44060.5368
4/2/2012,702,0,1,43043.868
4/2/2012,705,0,0,38660.5584
4/2/2012,709,0,1,57142.5912
4/2/2012,710,0,0,18162.5184
4/2/2012,711,0,0,11384.5968
4/2/2012,716,0,1,83533.0608
4/2/2012,717,0,1,24561.6408
4/2/2012,718,0,1,64376.5968
4/2/2012,722,0,1,60205.5144
4/2/2012,724,0,1,68478.444
4/2/2012,725,0,1,52085.8368
4/2/2012,734,0,0,18966.384
4/2/2012,736,0,1,20491.236
4/2/2012,737,0,0,11365.1712
4/2/2012,740,0,1,3985.812
4/2/2012,743,0,0,43415.9496
4/2/2012,744,0,0,118926.8496
4/2/2012,745,0,0,8585.3448
4/2/2012,746,0,1,23769.0792
4/2/2012,747,0,0,8434.5048
4/2/2012,749,0,0,41435.5464
4/2/2012,751,0,0,356829.48
4/2/2012,752,0,1,68935.7448
4/2/2012,753,0,1,365819.8824
4/2/2012,754,0,1,18058.3632
4/2/2012,755,0,0,14319.2232
4/2/2012,756,0,1,23694.444
4/2/2012,757,0,0,61348.0536
4/2/2012,758,0,0,32416.2144
4/2/2012,759,0,0,14358.4776
4/2/2012,760,0,1,13490.8776
4/2/2012,762,0,1,26284.0032
4/2/2012,764,0,1,27068.0976
4/2/2012,765,0,1,112358.8584
4/2/2012,766,0,1,4459.248
4/2/2012,767,0,1,12958.0056
4/2/2012,770,0,1,233417.34
4/2/2012,771,0,1,46153.4832
4/2/2012,773,0,1,16326.6984
4/2/2012,789,0,1,101780.6256
4/2/2012,790,0,1,140431.0608
4/2/2012,798,0,1,2397.7872
4/2/2012,800,0,1,61311.204
4/2/2012,801,0,0,44136.8496
4/2/2012,802,0,0,11446.308
4/2/2012,803,0,1,1894622.544
4/2/2012,804,0,1,26604.8928
4/2/2012,807,0,1,848891.016
4/2/2012,810,0,1,50213.4264
4/2/2012,811,0,0,56142.8136
4/2/2012,813,0,0,37512.18
4/2/2012,819,0,1,470550.0168
4/2/2012,820,0,1,272882.0088
4/2/2012,821,0,1,14380.5096
4/2/2012,825,0,1,329135.4288
4/2/2012,828,0,1,66448.944
4/2/2012,839,0,1,157497.4728
4/2/2012,855,0,1,72174.3984
4/2/2012,862,0,1,321719.8104
4/2/2012,866,0,0,135204.9624
4/2/2012,868,0,1,39552.6672
4/2/2012,881,0,1,98379.3672
4/3/2012,500,0,0,87553.0368
4/3/2012,501,0,1,2273643.792
4/3/2012,502,0,1,30600.8712
4/3/2012,503,0,1,40027.7952
4/3/2012,504,0,1,702310.4784
4/3/2012,505,0,0,388874.9304
4/3/2012,506,0,1,615645.3312
4/3/2012,507,0,1,60601.6512
4/3/2012,508,0,1,235913.4216
4/3/2012,509,0,1,59770.8576
4/3/2012,510,0,1,333421.2504
4/3/2012,511,0,0,642818.0808
4/3/2012,512,0,1,285727.9536
4/3/2012,513,0,0,85272.6384
4/3/2012,514,0,1,156351.096
4/3/2012,515,0,1,166411.2168
4/3/2012,516,0,1,34803.6552
4/3/2012,517,0,0,229727.1096
4/3/2012,518,0,1,124449.012
4/3/2012,519,0,1,59432.4576
4/3/2012,520,0,1,44596.9584
4/3/2012,521,0,0,137219.2632
4/3/2012,522,0,1,33138.7056
4/3/2012,523,0,1,82857.0312
4/3/2012,524,0,1,512832.5856
4/3/2012,525,0,0,17628.9408
4/3/2012,526,0,1,30477.096
4/3/2012,527,0,1,205330.2336
4/3/2012,528,0,0,932288.976
4/3/2012,529,0,1,128635.0128
4/3/2012,530,0,1,49524.0768
4/3/2012,531,0,1,65649.4632
4/3/2012,532,0,1,125355.4632
4/3/2012,533,0,1,268233.804
4/3/2012,534,0,0,360906.8112
4/3/2012,535,0,1,182908.1088
4/3/2012,536,0,0,56605.3992
4/3/2012,537,0,1,34660.6848
4/3/2012,538,0,1,96598.5624
4/3/2012,539,0,1,478046.2032
4/3/2012,540,0,1,45053.2008
4/3/2012,541,0,1,91495.2384
4/3/2012,542,0,0,96590.0736
4/3/2012,543,0,1,72223.7184
4/3/2012,544,0,0,142004.0808
4/3/2012,545,0,0,57605.1192
4/3/2012,546,0,0,66973.896
4/3/2012,547,0,0,106531.7616
4/3/2012,548,0,0,200261.592
4/3/2012,549,0,1,28834.3008
4/3/2012,550,0,0,32752.44
4/3/2012,551,0,1,55308.132
4/3/2012,552,0,1,11310.1128
4/3/2012,553,0,1,26365.8096
4/3/2012,554,0,1,31628.8944
4/3/2012,555,0,1,90976.284
4/3/2012,556,0,0,110969.1
4/3/2012,557,0,0,97701.6744
4/3/2012,558,0,1,7168.0248
4/3/2012,559,0,1,35231.22
4/3/2012,560,0,1,218343.528
4/3/2012,561,0,0,142449.3504
4/3/2012,563,0,0,147572.7552
4/3/2012,564,0,1,107904.96
4/3/2012,565,0,0,24178.5864
4/3/2012,566,0,0,179142.3576
4/3/2012,567,0,1,160667.784
4/3/2012,569,0,1,15305.9472
4/3/2012,570,0,1,47686.4064
4/3/2012,571,0,1,94175.1648
4/3/2012,573,0,1,81542.8584
4/3/2012,574,0,1,69332.3352
4/3/2012,575,0,1,69449.472
4/3/2012,576,0,0,30692.9376
4/3/2012,577,0,0,148145.6664
4/3/2012,581,0,0,34507.7136
4/3/2012,582,0,1,13799.4264
4/3/2012,583,0,1,2708.6976
4/3/2012,584,0,1,12238.8984
4/3/2012,588,0,1,70376.9184
4/3/2012,592,0,1,53608.248
4/3/2012,596,0,0,7606.1376
4/3/2012,597,0,1,17547.3072
4/3/2012,598,0,1,21206.2176
4/3/2012,600,0,1,38110.7232
4/3/2012,602,0,1,800977.464
4/3/2012,603,0,1,29174.22
4/3/2012,604,0,1,33940.2312
4/3/2012,605,0,1,33986.304
